Date,Location,Province,TotalKilledMin,TotalKilledMax,MilitantsKilledMin,MilitantsKilledMax,CiviliansKilledMin,CiviliansKilledMax,UnknownKilledMin,UnknownKilledMax,Target,LeadersKilled,Description,NumLeadersKilled,SourceConfirmed
2016-04-26,Amoudiya,Abyan,6,6,6,6,NA,NA,NA,NA,AQAP,Abu Sameh al-Zinjibari,NA,1.0,NAF
2016-04-28,NA,Shabwah,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-05-19,NA,Shabwah,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-06-08,NA,Al Bayda,2,2,2,2,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-06-10,East of Sanaa,Marib,2,2,2,2,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-06-12,Habban,Shabwah,2,6,2,6,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-07-01,NA,Shabwah,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-07-04,Al-Musaina,Shabwah,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-07-08,NA,Shabwah,1,1,1,1,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-07-10,Jabul,Marib,NA,NA,NA,NA,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-07-16,NA,Shabwah,6,6,6,6,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-08-04,Azzan,Shabwah,3,4,3,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-08-24,Nisab,Shabwah,2,5,2,5,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-08-24,East of Sana,Marib,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-08-30,Ataq,Shabwah,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-09-04,"Wadi Obeida Area, east of Sanaa",Marib,6,9,6,9,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-09-13,Radaa,Al Bayda,5,5,5,5,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-09-20,Wadi Abida,Marib,2,2,2,2,NA,NA,NA,NA,AQAP,Abu Yaqin Al Waeli,Local AQAP commander,1.0,NAF
2016-09-22,al-Sawmaa,Al Bayda,2,3,2,3,NA,NA,NA,NA,AQAP,Abdallah al-Sanaani,Regional AQAP commander,1.0,NAF
2016-09-23,al-Naseem,Marib,3,5,3,5,NA,NA,NA,NA,AQAP,Abu Khaled al-Sanaani,Local AQAP commander,1.0,NAF
2016-09-29,al-Ridaa,Al Bayda,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-10-06,NA,Shabwah,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-10-18,Alhawtah,Shabwah,3,8,3,8,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-10-21,NA,Marib,5,5,5,5,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-11-20,NA,Al Bayda,1,1,1,1,NA,NA,NA,NA,AQAP,Al-Abi,Senior al-Qaeda leader,1.0,NAF
2016-11-24,NA,Al Bayda,2,2,2,2,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-11-30,NA,Hadramawt,3,3,3,3,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-12-13,"East of Sanaa, between Marib and al-Jawf",Marib,3,4,3,4,NA,NA,NA,NA,Al-Qaeda,NA,NA,0.0,NAF
2016-12-20,NA,Shabwah,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2016-12-29,Sawmaa,Al Bayda,2,2,2,2,NA,NA,NA,NA,AQAP,Jalal al-Seydi,Emir of Loder,1.0,NAF
2017-01-08,Unknown,Al Bayda,1,1,1,1,NA,NA,NA,NA,AQAP,Abd al-Ghani al-Rasas,Senior AQAP leader and facilitator in al Bayda,1.0,NAF
2017-01-21,Al Soumaa,Al Bayda,3,10,3,10,NA,NA,NA,NA,AQAP,Abu Anis al-Abi,AQAP field commander,1.0,NAF
2017-01-29,Yakla District,Al Bayda,17,37,13,14,4,23,NA,NA,AQAP,"Abdul-Raouf al-Dhahab, Sultan al-Dhahab, Seif al-Nims",NA,3.0,NAF
2017-01-30,Bayhan District,Shabwah,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2017-03-02,Shaqra,Abyan,NA,NA,NA,NA,NA,NA,NA,NA,AQAP,"Usayd al-Adnani, Qassem Khalil","AQAP emir in Abyan province (al-Adnani), Unspecified (Khalil)",2.0,NAF
2017-03-02,Al Qayfa,Al Bayda,3,3,3,3,NA,NA,NA,NA,AQAP,"Usayd al-Adnani, Qassem Khalil","AQAP emir in Abyan province (al-Adnani), Unspecified (Khalil)",2.0,NAF
2017-03-02,Yashbum Valley,Shabwah,4,4,4,4,NA,NA,NA,NA,AQAP,"Usayd al-Adnani, Qassem Khalil","AQAP emir in Abyan province (al-Adnani), Unspecified (Khalil)",2.0,NAF
2017-03-02,Near Wadea district and Moujan district,Abyan,5,5,5,5,NA,NA,NA,NA,AQAP,"Usayd al-Adnani, Qassem Khalil","AQAP emir in Abyan province (al-Adnani), Unspecified (Khalil)",2.0,NAF
2017-03-03,Yashbam Valley,Shabwah,8,8,8,8,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2017-03-04,al-Saeed,Shabwah,NA,NA,NA,NA,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2017-03-04,Ahwar,Abyan,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
