Date,Location,Province,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,SourceConfirmed
2012-05-10,Jaar,Abyan,5,12,0,0,"TBIJ (Confirmed, Possible)"
2012-05-10,Shaqra,Abyan,2,4,0,0,"TBIJ (Confirmed, Possible)"
2012-05-12,Al Hosoon,Marib,6,7,0,0,"TBIJ (Confirmed, Possible)"
2012-05-12,Unknown,Between Marib and Shabwa,10,10,0,0,"TBIJ (Confirmed, Possible)"
2012-05-12,Al Ain,Shabwa/Hadramout,6,10,0,0,"TBIJ (Confirmed, Possible)"
2012-05-14,Shaqra,Abyan,10,10,0,0,"TBIJ (Confirmed, Possible)"
2012-05-14,Lawder,Abyan,6,6,0,0,"TBIJ (Confirmed, Possible)"
2012-05-14,Jaar,Abyan,0,0,0,0,"TBIJ (Confirmed, Possible)"
2012-05-15,Jaar,Abyan,14,42,14,26,"TBIJ (Confirmed, Possible)"
2012-05-16,Moudia,Abyan,16,16,0,0,"TBIJ (Confirmed, Possible)"
2012-05-17,Shibam,Hadhramout,2,3,0,0,"TBIJ (Confirmed, Possible)"
2012-05-17,Shaqra,Abyan,5,6,0,2,"TBIJ (Confirmed, Possible)"
2012-05-19,Jaar,Abyan,3,5,0,0,"TBIJ (Confirmed, Possible)"
2012-05-19,Unknown,Bayda,2,2,0,0,"TBIJ (Confirmed, Possible)"
2012-05-20,Jaar,Abyan,0,9,0,0,"TBIJ (Confirmed, Possible)"
2012-05-28,Manaseh,Bayda,3,5,0,2,"TBIJ (Confirmed, Possible)"
2012-05-28,Mukalla,Abyan,5,5,0,0,"TBIJ (Confirmed, Possible)"
2012-06-01,Mahfed,Abyan,11,12,0,0,"TBIJ (Confirmed, Possible)"
2012-06-07,Moudia,Abyan,2,2,0,0,"TBIJ (Confirmed, Possible)"
2012-06-07,Jaar,Abyan,3,3,0,0,"TBIJ (Confirmed, Possible)"
2012-06-07,Jaar,Abyan,5,5,0,0,"TBIJ (Confirmed, Possible)"
2012-06-11,Azzan,Shabwa,16,16,0,0,"TBIJ (Confirmed, Possible)"
2012-06-13,Jaar,Abyan,10,18,0,0,"TBIJ (Confirmed, Possible)"
2012-06-13,Azzan,Shabwa,9,9,0,0,"TBIJ (Confirmed, Possible)"
2012-06-15,Azzan,Shabwa,5,5,0,0,"TBIJ (Confirmed, Possible)"
2012-06-15,Shaqra,Abyan,5,7,5,7,"TBIJ (Confirmed, Possible)"
2012-06-19,Unknown,Shabwa,3,3,0,0,"TBIJ (Confirmed, Possible)"
2012-06-20,Mahfed,Abyan,1,1,1,1,"TBIJ (Confirmed, Possible)"
2012-06-20,Al Yafea,Bayda,5,30,0,0,"TBIJ (Confirmed, Possible)"
2012-06-25,Mahfed,Abyan,3,3,0,0,"TBIJ (Confirmed, Possible)"
2012-07-03,Bayhan,Shabwa,2,5,0,0,"TBIJ (Confirmed, Possible)"
2012-07-04,Mahfed,Abyan,3,13,0,0,"TBIJ (Confirmed, Possible)"
2012-07-23,Mahfed,Abyan,5,5,0,0,"TBIJ (Confirmed, Possible)"
2012-08-04,Al Qotn,Hadhramout,3,5,0,0,"TBIJ (Confirmed, Possible)"
2012-08-06,Radaa,Bayda,7,7,0,0,"TBIJ (Confirmed, Possible)"
2012-08-07,Al Qotn,Hadhramout,2,3,0,0,"TBIJ (Confirmed, Possible)"
2012-08-28,Qahb al-Hisan,Hadhramout,2,3,0,0,"TBIJ (Confirmed, Possible)"
2012-08-29,Al Qotn,Hadhramout,5,5,2,2,"TBIJ (Confirmed, Possible)"
2012-08-31,Hawda,Hadhramout,8,8,0,0,"TBIJ (Confirmed, Possible)"
2012-09-02,Radaa,Bayda,12,12,12,12,"TBIJ (Confirmed, Possible)"
2012-09-05,Al Ain,Shabwa/Hadramout,4,6,1,4,"TBIJ (Confirmed, Possible)"
2012-09-10,Al Ain,Shabwa/Hadramout,6,15,0,0,"TBIJ (Confirmed, Possible)"
2012-09-20,Mahfed,Abyan,2,4,0,0,"TBIJ (Confirmed, Possible)"
2012-10-04,Al Saeed,Shabwa,3,6,0,0,"TBIJ (Confirmed, Possible)"
2012-10-18,Jaar,Abyan,7,9,0,0,"TBIJ (Confirmed, Possible)"
2012-10-21,Maarib,Marib,4,4,0,0,"TBIJ (Confirmed, Possible)"
2012-10-28,Wadi al Abu Jabara,Saada,4,4,0,0,"TBIJ (Confirmed, Possible)"
2012-11-07,Beit al Ahan,Sanaa,2,2,0,0,"TBIJ (Confirmed, Possible)"
2012-12-24,Manaseh,Bayda,2,3,0,0,"TBIJ (Confirmed, Possible)"
2012-12-24,Shehr,Hadhramout,3,7,0,0,"TBIJ (Confirmed, Possible)"
2012-12-28,Shehr,Hadhramout,2,3,0,0,"TBIJ (Confirmed, Possible)"
2012-12-29,Manaseh,Bayda,3,4,0,0,"TBIJ (Confirmed, Possible)"
2013-01-01,Unknown,Shabwa,1,1,0,0,"TBIJ (Confirmed, Possible)"
2013-01-04,Radaa,Bayda,3,3,0,0,"TBIJ (Confirmed, Possible)"
2013-01-19,Wadi Abida,Marib,0,0,0,0,"TBIJ (Confirmed, Possible)"
2013-01-19,Wadi Abida,Marib,2,4,0,3,"TBIJ (Confirmed, Possible)"
2013-01-19,Wadi Abida,Marib,4,6,0,4,"TBIJ (Confirmed, Possible)"
2013-01-20,Al Kanais,Marib,3,3,0,0,"TBIJ (Confirmed, Possible)"
